site_id,year,available,status
AT-Neu,2005,True,to download
AU-How,2005,True,to download
AU-Tum,2005,True,to download
AU-Wac,2005,True,to download
BE-Bra,2005,True,to download
BE-Lon,2005,True,to download
BE-Vie,2005,True,to download
BR-Sa1,2005,True,to download
CA-Gro,2005,True,to download
CA-Man,2005,True,to download
CA-NS1,2005,True,to download
CA-NS2,2005,True,to download
CA-NS3,2005,True,to download
CA-NS4,2005,True,to download
CA-NS5,2005,True,to download
CA-NS6,2005,True,to download
CA-NS7,2005,True,to download
CA-Oas,2005,True,to download
CA-Obs,2005,True,to download
CA-Qfo,2005,True,to download
CA-SF1,2005,True,to download
CA-SF2,2005,True,to download
CA-SF3,2005,True,to download
CA-TP1,2005,True,to download
CA-TP2,2005,True,to download
CA-TP3,2005,True,to download
CA-TP4,2005,True,to download
CH-Cha,2005,True,to download
CH-Dav,2005,True,to download
CH-Fru,2005,True,to download
CH-Lae,2005,True,to download
CH-Oe1,2005,True,to download
CH-Oe2,2005,True,to download
CN-Cha,2005,True,to download
CN-Dan,2005,True,to download
CN-Din,2005,True,to download
CN-Ha2,2005,True,to download
CN-Qia,2005,True,to download
CZ-BK1,2005,True,to download
CZ-BK2,2005,True,to download
DE-Geb,2005,True,to download
DE-Gri,2005,True,to download
DE-Hai,2005,True,to download
DE-Kli,2005,True,to download
DE-Lnf,2005,True,to download
DE-Tha,2005,True,to download
DK-Eng,2005,True,to download
DK-Fou,2005,True,to download
DK-Sor,2005,True,to download
ES-LJu,2005,True,to download
FI-Hyy,2005,True,to download
FI-Sod,2005,True,to download
FR-Fon,2005,True,to download
FR-Gri,2005,True,to download
FR-LBr,2005,True,to download
FR-Pue,2005,True,to download
GF-Guy,2005,True,to download
GL-ZaH,2005,True,to download
IT-BCi,2005,True,to download
IT-Col,2005,True,to download
IT-Cpz,2005,True,to download
IT-Lav,2005,True,to download
IT-MBo,2005,True,to download
IT-Noe,2005,True,to download
IT-Ren,2005,True,to download
IT-Ro1,2005,True,to download
IT-Ro2,2005,True,to download
IT-SRo,2005,True,to download
JP-MBF,2005,True,to download
JP-SMF,2005,True,to download
MY-PSO,2005,True,to download
NL-Hor,2005,True,to download
NL-Loo,2005,True,to download
RU-Che,2005,True,to download
RU-Cok,2005,True,to download
RU-Fyo,2005,True,to download
SD-Dem,2005,True,to download
US-ARb,2005,True,to download
US-ARc,2005,True,to download
US-ARM,2005,True,to download
US-Atq,2005,True,to download
US-Blo,2005,True,to download
US-Cop,2005,True,to download
US-GBT,2005,True,to download
US-GLE,2005,True,to download
US-Goo,2005,True,to download
US-Ha1,2005,True,to download
US-IB2,2005,True,to download
US-Ivo,2005,True,to download
US-KS2,2005,True,to download
US-Los,2005,True,to download
US-Me1,2005,True,to download
US-Me2,2005,True,to download
US-Me3,2005,True,to download
US-MMS,2005,True,to download
US-Ne1,2005,True,to download
US-Ne2,2005,True,to download
US-Ne3,2005,True,to download
US-NR1,2005,True,to download
US-Oho,2005,True,to download
US-PFa,2005,True,to download
US-SRM,2005,True,to download
US-Sta,2005,True,to download
US-Syv,2005,True,to download
US-Ton,2005,True,to download
US-UMB,2005,True,to download
US-Var,2005,True,to download
US-WCr,2005,True,to download
US-Wi4,2005,True,to download
US-Wi7,2005,True,to download
US-Wi9,2005,True,to download
US-Wkg,2005,True,to download
ZM-Mon,2005,True,to download
